""
********************************************************************************************************************************************************************************************************
Contract,Computation,Count,Mean,Median,Stdev,Min,Max
Function: get_paid, 65: def get_paid() -> bool:,10,104,23,117,23,334
," 70: assert not self.paid_accounts[msg.sender], ""User has been already paid""",4,2185,2185,0,2185,2185
, 71: i: uint256 = 0,4,47,47,0,47,47
, 75: if msg.sender == account:,4,64,64,32,27,102
, 76: acc_share = i_shares[i],4,84,84,0,84,84
, 77: self.paid_accounts[msg.sender] = True,4,20065,20065,0,20065,20065
, 78: break,4,11,11,0,11,11
, 79: i += 1,3,96,96,48,48,144
, 80: eth: uint256 = 0,4,20,20,0,20,20
, 82: if i_total_eth_to_split > 0:,4,55,55,0,55,55
, 83: eth = i_total_eth_to_split*acc_share/i_total_shares,4,142,142,0,142,142
," 84: send(msg.sender, eth)  # send ether if its more than zero.",4,34326,34326,0,34326,34326
, 85: if i_total_tokens_to_split > 0:,4,55,55,0,55,55
, 86: tokens = i_total_tokens_to_split*acc_share/i_total_shares,4,134,134,0,134,134
," 87: assert ERC20(i_token).transfer(msg.sender, tokens) == True # send erc20 tokens if its more than zero.",4,278,278,0,278,278
," 88: log SharesPaid(msg.sender, eth, tokens)  # Event",4,1672,1672,0,1672,1672
, 89: return True,4,12,12,0,12,12
""
Function: withdraw, 92: def withdraw() -> bool:,6,23,23,0,23,25
," 97: assert i_owner == msg.sender, ""Only owner can withdraw""",1,63,63,0,63,63
," 98: assert block.timestamp >= i_created_at + TIME_LOCK_DURATION, ""Too early to withdraw funds""",1,58,58,0,58,58
," 99: log FundsWithdrawn(self.balance, ERC20(i_token).balanceOf(self))   # Event ",1,1502,1502,0,1502,1502
,100: if(self.balance > 0):,1,30,30,0,30,30
,"101: send(i_owner, self.balance)",1,34342,34342,0,34342,34342
,102: if(ERC20(i_token).balanceOf(self) > 0):,1,216,216,0,216,216
,"103: assert ERC20(i_token).transfer(i_owner, ERC20(i_token).balanceOf(self)) == True",1,20388,20388,0,20388,20388
,104: return True,1,12,12,0,12,12
""
Function: get_account_share,"108: def get_account_share(acc: address) -> (uint256, uint256):",5,23,23,0,23,23
""
